Nome,Escopo,Tipo_var,Tipo,Tamanho,Ocorrências
PC_INTERRUPTION,global,inteiro,Função,0,0 190 
see_if_ended,global,inteiro,Função,0,11 198 
copy_registers_to_ram,global,inteiro,Função,0,0 
set_hd_track,global,inteiro,Função,0,0 
pc_processes,global,inteiro,Vetor,10,5 18 84 85 86 87 153 187 189 190 
copy_registers_to_bank,global,inteiro,Função,0,0 
find_by_index,global,inteiro,Função,0,27 143 171 
exec,global,inteiro,Vetor,10,8 136 145 152 
main,global,void,Função,0,43 
change_context,global,inteiro,Função,0,0 189 
nomes,global,inteiro,Vetor,10,9 33 64 173 
input,global,inteiro,Função,0,0 116 121 132 142 158 170 173 
set_lcd_message,global,inteiro,Função,0,0 
set_process_bcd,global,inteiro,Função,0,0 179 188 191 
memory_location,global,inteiro,Vetor,10,6 76 94 95 96 97 189 
output,global,inteiro,Função,0,0 202 
init_pc,global,inteiro,Vetor,10,7 103 104 105 106 189 
STACK_SIZE,global,inteiro,Função,0,0 
set_quantum_value,global,inteiro,Função,0,0 123 126 160 163 
clean_ram,global,inteiro,Função,0,0 76 
i,see_if_ended,inteiro,Variável,0,13 14 16 18 21 21 
i,find_by_index,inteiro,Variável,0,29 30 32 33 34 36 36 
num,find_by_index,inteiro,Variável,0,27 33 
quantidade,main,inteiro,Variável,0,53 132 141 
i,main,inteiro,Variável,0,49 62 63 64 64 65 65 74 75 76 77 77 134 135 136 137 137 140 141 146 146 150 151 152 153 155 155 177 185 187 188 189 189 189 190 194 194 197 
end,main,inteiro,Variável,0,51 178 183 198 
nome,main,inteiro,Variável,0,56 
opcao,main,inteiro,Variável,0,52 116 119 131 169 181 
indice,main,inteiro,Variável,0,55 
processo,main,inteiro,Variável,0,54 142 143 143 144 145 170 171 171 172 173 
preempcao,main,inteiro,Variável,0,50 121 125 158 162 
